DATE,MAIN,VOO,QQQ
2024-07-27,566.24,546.83,537.38
2024-07-28,569.94,546.83,537.38
2024-07-29,582.0,571.89,563.1
2024-07-30,576.61,568.9,555.38
2024-07-31,562.83,577.84,571.8
2024-08-01,569.26,569.98,557.96
2024-08-02,534.93,559.6,544.74
2024-08-03,528.52,559.6,544.74
2024-08-04,506.2,559.6,544.74
2024-08-05,495.1,567.9,553.56
2024-08-06,513.83,573.54,558.84
2024-08-07,504.6,569.58,552.8
2024-08-08,565.88,582.82,569.68
2024-08-09,558.27,585.31,572.65
2024-08-10,558.87,585.31,572.65
2024-08-11,538.46,585.31,572.65
2024-08-12,569.21,610.81,599.09
2024-08-13,581.25,620.92,613.93
2024-08-14,563.29,622.9,614.13
2024-08-15,552.0,633.56,629.63
2024-08-16,564.79,634.89,630.43
2024-08-17,570.4,634.89,630.43
2024-08-18,560.86,634.89,630.43
2024-08-19,596.12,666.29,664.01
2024-08-20,591.31,665.19,662.62
2024-08-21,612.98,667.52,665.71
2024-08-22,605.03,662.13,655.17
2024-08-23,642.23,669.27,662.26
2024-08-24,643.07,669.27,662.26
2024-08-25,644.62,669.27,662.26
2024-08-26,654.59,692.5,680.71
2024-08-27,619.44,693.43,682.74
2024-08-28,614.48,689.47,675.0
2024-08-29,618.23,689.58,674.02
2024-08-30,615.43,696.05,682.04
2024-08-31,613.88,696.05,682.04
2024-09-01,596.76,696.05,682.04
2024-09-02,615.36,696.05,682.04
2024-09-03,622.55,706.96,686.31
2024-09-04,628.41,705.21,684.52
2024-09-05,608.78,703.47,685.16
2024-09-06,584.8,691.79,666.83
2024-09-07,586.87,691.79,666.83
2024-09-08,594.48,691.79,666.83
2024-09-09,618.09,699.55,675.4
2024-09-10,624.91,702.43,681.63
2024-09-11,621.6,709.6,696.42
2024-09-12,630.1,715.68,703.24
2024-09-13,656.59,719.47,706.39
2024-09-14,650.46,719.47,706.39
2024-09-15,641.54,719.47,706.39
2024-09-16,655.83,745.58,728.3
2024-09-17,679.68,745.92,728.68
2024-09-18,694.79,743.51,725.53
2024-09-19,709.34,756.44,743.85
2024-09-20,712.18,754.96,742.44
2024-09-21,714.46,754.96,742.44
2024-09-22,717.32,754.96,742.44
2024-09-23,738.43,781.58,770.22
2024-09-24,749.76,783.82,773.92
2024-09-25,736.25,782.23,774.64
2024-09-26,760.01,785.33,780.45
2024-09-27,767.12,786.81,776.12
2024-09-28,768.25,786.81,776.12
2024-09-29,765.31,786.81,776.12
2024-09-30,763.12,815.22,803.22
2024-10-01,733.09,807.64,792.05
2024-10-02,730.63,807.78,793.17
2024-10-03,732.15,806.26,792.58
2024-10-04,747.91,813.65,801.99
2024-10-05,748.18,813.65,801.99
2024-10-06,756.97,813.65,801.99
2024-10-07,774.22,831.33,818.38
2024-10-08,772.92,839.15,830.57
2024-10-09,753.64,844.86,837.09
2024-10-10,749.81,843.45,836.15
2024-10-11,776.82,848.44,837.45
2024-10-12,786.12,848.44,837.45
2024-10-13,781.87,848.44,837.45
2024-10-14,846.71,880.52,869.63
2024-10-15,859.47,873.84,858.03
2024-10-16,866.8,877.5,858.14
2024-10-17,864.07,877.63,858.73
2024-10-18,877.13,880.99,864.35
2024-10-19,876.41,880.99,864.35
2024-10-20,884.6,880.99,864.35
2024-10-21,888.58,904.61,890.98
2024-10-22,888.5,903.99,891.95
2024-10-23,876.24,895.79,878.31
2024-10-24,899.04,897.8,885.42
2024-10-25,879.01,897.45,890.81
2024-10-26,883.92,897.45,890.81
2024-10-27,895.99,897.45,890.81
2024-10-28,947.25,925.15,915.87
2024-10-29,985.36,926.62,924.65
2024-10-30,980.2,923.84,917.68
