,QLD,QQQ,TQQQ,VOO
2020-01-21,16.575593948364258,215.17919921875,11.940913200378418,278.2535095214844
2020-01-22,16.659622192382812,215.7478179931641,12.022233963012695,278.3266906738281
2020-01-23,16.758466720581055,216.4416656494141,12.133450508117676,278.6009216308594
2020-01-24,16.471805572509766,214.6202850341797,11.818934440612791,276.0599670410156
2020-01-27,15.793462753295898,210.1871337890625,11.088248252868652,271.6726379394531
2020-01-28,16.270402908325195,213.4156494140625,11.603675842285156,274.615966796875
2020-01-29,16.321063995361328,213.76251220703125,11.645529747009276,274.3415832519531
2020-01-30,16.439685821533203,214.5238800048828,11.77707862854004,275.2007141113281
2020-01-31,15.90713596343994,211.1219482421875,11.19826889038086,270.26507568359375
2020-02-03,16.380373001098633,214.3118896484375,11.71250057220459,272.23016357421875
2020-02-04,17.134090423583984,219.21722412109375,12.51254653930664,276.425537109375
2020-02-05,17.26506233215332,219.9400177001953,12.657249450683594,279.5515441894531
2020-02-06,17.55172348022461,221.83853149414065,12.96578884124756,280.5020751953125
2020-02-07,17.393566131591797,220.8844451904297,12.79836368560791,279.076171875
2020-02-10,17.824790954589844,223.553955078125,13.259973526000977,281.077880859375
2020-02-11,17.824790954589844,223.59249877929688,13.269540786743164,281.5897216796875
2020-02-12,18.174467086791992,225.77053833007812,13.658204078674316,283.3994445800781
2020-02-13,18.113922119140625,225.4813690185547,13.605585098266602,283.1252136230469
2020-02-14,18.210298538208008,226.12705993652344,13.69766902923584,283.60064697265625
2020-02-18,18.24118995666504,226.21383666992188,13.721588134765623,282.8236083984375
2020-02-19,18.58344841003418,228.38214111328125,14.118619918823242,284.185546875
2020-02-20,18.22265625,226.26199340820312,13.716802597045898,283.0704650878906
2020-02-21,17.544307708740234,221.9156036376953,12.932303428649902,280.136474609375
2020-02-24,16.181442260742188,213.35780334472656,11.44222927093506,270.76776123046875
2020-02-25,15.307869911193848,207.5561981201172,10.516616821289062,262.63311767578125
2020-02-26,15.440082550048828,208.62596130371097,10.66131591796875,261.4723205566406
